topic,mapped_x,mapped_y
Pre training objectives,0.4862954103464032,0.49787153156619324
Pre trained models,0.48429538189323884,0.4993041040569235
Tutorial: Introduction to huggingface,0.5024064321787484,0.5106210120368269
Fine tuning LLM,0.5042982250776025,0.5115213783170383
Instruction tuning,0.4792404121191096,0.4867641070735197
Prompt based learning,0.4722207755912915,0.4783453373425788
Parameter efficient fine tuning,0.47786308494621166,0.4806988137391913
Incontext Learning,0.47602131779882284,0.47852402612316214
Prompting methods,0.47602131779882284,0.47852402612316214
Retrieval Methods,0.49062728582488646,0.4860916804860428
Retrieval Augmented Generation,0.4736561172492999,0.4720369300624434
Quantization,0.5311205842944364,0.5285926654832978
Mixture of Experts Model,0.5086697420960135,0.5102847445191707
Agentic AI,0.4850265095912456,0.4849493476190232
Multimodal LLMs,0.49136304438818046,0.4892019617746457
Vision Language Models,0.5020476558818721,0.49609876040124545
Policy learning using DQN,0.5078705892582778,0.5014379122768156
RLHF,0.546024227958915,0.5441248780763337
